outlet_name,outlet_address,category,item_order,item_name,item_description,price,is_veg,image_url,action_label,raw_text,source_url,scraped_at
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Premium Thalis,11,Premium Veg Thali,Veg Dum Biryani + Tandoori Paneer Tikka (3 Pcs) + Butter Paneer Masala + Dal Makhani + Dry Mix Veg + Wheat Parathas (2 Nos) + Small Angoori Gulab Jamun (4 Pcs). A wholesome North-Indian Thali served with Raita & Salad.,₹449/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2024/01/19/Shahi_Veg_Biryani_Thali_1682568181_1_1705633709.jpg,Add,AddPremium Veg ThaliVeg Dum Biryani + Tandoori Paneer Tikka (3 Pcs) + Butter Paneer Masala + Dal Makhani + Dry Mix Veg + Wheat Parathas (2 Nos) + Small Angoori Gulab Jamun (4 Pcs). A wholesome North-Indian Thali served with Raita & Salad. Read more₹449/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Premium Thalis,12,Premium Non-Veg Chicken Thali,Chicken Dum Biryani + Chicken Tikka Boneless (3 Pcs) + Butter Chicken Masala + Dal Makhani + Dry Mix Veg + Wheat Parathas (2 Nos) + Small Angoori Gulab Jamun (4 Pcs). A wholesome North-Indian Thali served with Raita & Salad.,₹509/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2024/01/19/Shahi_Chicken_Biryani_Thali_1682567375_1_1705633049.jpg,Add,AddPremium Non-Veg Chicken ThaliChicken Dum Biryani + Chicken Tikka Boneless (3 Pcs) + Butter Chicken Masala + Dal Makhani + Dry Mix Veg + Wheat Parathas (2 Nos) + Small Angoori Gulab Jamun (4 Pcs). A wholesome North-Indian Thali served with Raita & Salad. Read more₹509/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Premium Thalis,13,Premium Non-Veg Mutton Thali,Mutton Dum Biryani + Chicken Tikka Boneless (3 Pcs) + Mutton Rogan Josh + Dal Makhani + Dry Mix Veg + Wheat Paratha (2 Nos) + Small Angoori Gulab Jamun (4 Pcs ). A wholesome North-Indian Thali served with Raita & Salad.,₹559/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2024/01/19/Shai_Mutton_Biryani_Thali_1682567920_1_1705633420.jpg,Add,AddPremium Non-Veg Mutton ThaliMutton Dum Biryani + Chicken Tikka Boneless (3 Pcs) + Mutton Rogan Josh + Dal Makhani + Dry Mix Veg + Wheat Paratha (2 Nos) + Small Angoori Gulab Jamun (4 Pcs ). A wholesome North-Indian Thali served with Raita & Salad. Read more₹559/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,14,Butter Chicken Paratha Meal,Succulent boneless Chicken cooked in an irresistibly rich and flavourful gravy. Served with Whole Wheat Paratha (3 Nos) and Raita.,₹289/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/cc7ae0a2-2093-404b-aa36-6207bc32395e..jpg,Add,AddButter Chicken Paratha MealSucculent boneless Chicken cooked in an irresistibly rich and flavourful gravy. Served with Whole Wheat Paratha (3 Nos) and Raita. ₹289/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,15,Chicken Lababdar Rice Meal,"Tender chicken cooked in a rich, creamy Lababdar sauce made with butter, tomatoes, and warm spices. Served with steamed basmati rice and a side of raita for a hearty, satisfying meal.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/4a887a4a-9e37-4dc0-80d1-ded7e283a84c..jpg,Add,"AddChicken Lababdar Rice MealTender chicken cooked in a rich, creamy Lababdar sauce made with butter, tomatoes, and warm spices. Served with steamed basmati rice and a side of raita for a hearty, satisfying meal. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,16,Chicken Lababdar Paratha Meal,"Juicy chicken cooked in a Lababdar gravy, served with Paratha (3 Nos) & raita.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/3dee5a48-b2d0-4047-aa20-4ba9cbdc37b6..jpg,Add,"AddChicken Lababdar Paratha MealJuicy chicken cooked in a Lababdar gravy, served with Paratha (3 Nos) & raita. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,17,Kadai Chicken Rice Meal,"Spicy Kadai Chicken stir-cooked with bell peppers, onions, and bold spices, served with aromatic steamed basmati rice and raita.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/dd07884d-5b7b-406b-a430-1c4568cc85fc..jpg,Add,"AddKadai Chicken Rice MealSpicy Kadai Chicken stir-cooked with bell peppers, onions, and bold spices, served with aromatic steamed basmati rice and raita. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,18,Kadai Chicken Paratha Meal,"Spicy Kadai Chicken stir-cooked with bell peppers, onions, and bold spices, served with Paratha (3 Nos) & raita.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/8f9bc455-1a7e-4857-99db-a3006dbb902b..jpg,Add,"AddKadai Chicken Paratha MealSpicy Kadai Chicken stir-cooked with bell peppers, onions, and bold spices, served with Paratha (3 Nos) & raita. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,19,Chicken Korma Curry Rice Meal,"Juicy chicken coated in a korma gravy, served with fragrant basmati rice & raita.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/bbc4d101-ad3b-4f42-a946-28ee832b0e8b..jpg,Add,"AddChicken Korma Curry Rice MealJuicy chicken coated in a korma gravy, served with fragrant basmati rice & raita. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,20,Chicken Korma Curry Paratha Meal,"Juicy chicken coated in a korma gravy, served with Parathas (3 Nos) & raita.",₹279/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/86e20bdc-8f99-4557-8011-5f44e7f9064b..jpg,Add,"AddChicken Korma Curry Paratha MealJuicy chicken coated in a korma gravy, served with Parathas (3 Nos) & raita. ₹279/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,21,Egg Masala Curry Rice Meal,"Perfectly boiled eggs (2 Nos) simmered in a bold, aromatic masala gravy, served with fragrant basmati rice & raita.",₹239/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/7084cad0-5722-4a51-a82a-bfe50db66e28..jpg,Add,"AddEgg Masala Curry Rice MealPerfectly boiled eggs (2 Nos) simmered in a bold, aromatic masala gravy, served with fragrant basmati rice & raita. ₹239/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,22,Egg Masala Curry Paratha Meal,"Perfectly boiled eggs simmered in a bold, aromatic masala gravy, served with Parathas (3 Nos) & raita.",₹239/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/1456eb67-139f-4a42-a0d6-20ec4cf87234..jpg,Add,"AddEgg Masala Curry Paratha MealPerfectly boiled eggs simmered in a bold, aromatic masala gravy, served with Parathas (3 Nos) & raita. ₹239/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,23,Egg Korma Rice Meal,"Boiled eggs (2 Nos) gently cooked in a rich korma gravy, served with steamed basmati rice & raita.",₹219/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/941dac1f-273a-4362-b6a5-8772f42036a7..jpg,Add,"AddEgg Korma Rice MealBoiled eggs (2 Nos) gently cooked in a rich korma gravy, served with steamed basmati rice & raita. ₹219/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,24,Egg Korma Paratha Meal,"Boiled eggs gently cooked in a rich korma gravy, served with Parathas (3 Nos) & raita.",₹219/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/1456eb67-139f-4a42-a0d6-20ec4cf87234..jpg,Add,"AddEgg Korma Paratha MealBoiled eggs gently cooked in a rich korma gravy, served with Parathas (3 Nos) & raita. ₹219/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,25,Fish Curry Rice Meal,"Tender fish cooked in a tangy, spiced curry, served with steamed basmati rice & raita.",₹299/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/2fcfaaa5-0410-4058-a17e-95e67be8531a..jpg,Add,"AddFish Curry Rice MealTender fish cooked in a tangy, spiced curry, served with steamed basmati rice & raita. ₹299/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,26,Prawns Curry Rice Meal,"Juicy prawns cooked in a spicy, aromatic curry, served with steamed basmati rice & raita.",₹299/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/9fbfca15-eb8f-4889-b7b5-eda9d3722474..jpg,Add,"AddPrawns Curry Rice MealJuicy prawns cooked in a spicy, aromatic curry, served with steamed basmati rice & raita. ₹299/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,27,Paneer Lababdar Rice Meal,"Soft paneer cubes in a spiced Lababdar curry, served with fragrant basmati rice & raita.",₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/c495e965-4b3d-472e-b836-0682fbf8d700..jpg,Add,"AddPaneer Lababdar Rice MealSoft paneer cubes in a spiced Lababdar curry, served with fragrant basmati rice & raita. ₹269/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,28,Paneer Lababdar Paratha Meal,"Soft paneer cubes in a spiced Lababdar curry, served with Parathas (3 Nos) & raita.",₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/f0f78a62-383b-4f53-8307-35b2a4550f87..jpg,Add,"AddPaneer Lababdar Paratha MealSoft paneer cubes in a spiced Lababdar curry, served with Parathas (3 Nos) & raita. ₹269/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,29,Kadai Paneer Rice Meal,"Aromatic kadai paneer cooked in traditional spices, served with steamed basmati rice & raita.",₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/ff758ccd-83a5-453e-9722-68c01de8fcf9..jpg,Add,"AddKadai Paneer Rice MealAromatic kadai paneer cooked in traditional spices, served with steamed basmati rice & raita. ₹269/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,30,Kadai Paneer Paratha Meal,"Aromatic kadai paneer cooked in traditional spices, served with Parathas (3 Nos) & raita.",₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/0d4a329f-6d81-4036-89ca-52dcebf1fcea..jpg,Add,"AddKadai Paneer Paratha MealAromatic kadai paneer cooked in traditional spices, served with Parathas (3 Nos) & raita. ₹269/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,31,Paneer Korma Rice Meal,"Soft paneer cubes cooked in a rich, korma gravy, served with fragrant basmati rice & raita.",₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/ff758ccd-83a5-453e-9722-68c01de8fcf9..jpg,Add,"AddPaneer Korma Rice MealSoft paneer cubes cooked in a rich, korma gravy, served with fragrant basmati rice & raita. ₹269/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,32,Paneer Korma Paratha Meal,A flavorful Paneer Korma. Served with Wheat Paratha (3 Nos) and Raita,₹269/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/2e79c5e7-1383-4336-8cd9-0fe625f245c3..jpg,Add,AddPaneer Korma Paratha MealA flavorful Paneer Korma. Served with Wheat Paratha (3 Nos) and Raita ₹269/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,33,Rajma Masala Rice Meal,"A North Indian comfort classicâ€”rajma cooked in a spiced onion-tomato gravy, served with basmati rice. Just like it's made in Punjabi homes.",₹199/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/7fc04349-98e8-424f-8159-59a4fb8fa9e8..jpg,Add,"AddRajma Masala Rice MealA North Indian comfort classicâ€”rajma cooked in a spiced onion-tomato gravy, served with basmati rice. Just like it's made in Punjabi homes. ₹199/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,34,Rajma Paratha Meal,"A North Indian comfort classicâ€”rajma cooked in a spiced onion-tomato gravy, served with Paratha (3 Nos) & Raita. Just like it's made in Punjabi homes",₹179/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/09/28002f71-a4e6-40ba-b34a-69e2a730a239..jpg,Add,"AddRajma Paratha MealA North Indian comfort classicâ€”rajma cooked in a spiced onion-tomato gravy, served with Paratha (3 Nos) & Raita. Just like it's made in Punjabi homes ₹179/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,35,Chole Masala Rice Meal,"A North Indian staple, this Chole Masala features chickpeas simmered in a bold, spiced tomato-onion gravy, Served with basmati rice & raita for a hearty, homestyle meal.",₹179/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/3da10d68-7c64-4539-ae30-96095fcb0396..jpg,Add,"AddChole Masala Rice MealA North Indian staple, this Chole Masala features chickpeas simmered in a bold, spiced tomato-onion gravy, Served with basmati rice & raita for a hearty, homestyle meal. ₹179/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,36,Chole Paratha Meal,"A North Indian staple, this Chole Masala features chickpeas simmered in a bold, spiced tomato-onion gravy, Served with Paratha (3 Nos) & Raita for a hearty, homestyle meal",₹179/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/ee19ee2c-1c4a-4498-9bfb-be055348d908..jpg,Add,"AddChole Paratha MealA North Indian staple, this Chole Masala features chickpeas simmered in a bold, spiced tomato-onion gravy, Served with Paratha (3 Nos) & Raita for a hearty, homestyle meal ₹179/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,37,Mushroom Masala Rice Meal,"Tender mushrooms cooked in a bold, spiced masala gravy, served with steamed basmati rice & raita.",₹219/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/98ad107e-586c-44ec-a2c1-81b0b785fa7a..jpg,Add,"AddMushroom Masala Rice MealTender mushrooms cooked in a bold, spiced masala gravy, served with steamed basmati rice & raita. ₹219/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,38,Mushroom Masala Paratha Meal,"Tender mushrooms cooked in a bold, spiced masala gravy, served with Parathas (3 Nos) & raita.",₹219/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/2e79c5e7-1383-4336-8cd9-0fe625f245c3..jpg,Add,"AddMushroom Masala Paratha MealTender mushrooms cooked in a bold, spiced masala gravy, served with Parathas (3 Nos) & raita. ₹219/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,39,Dal Makhani Rice Meal,A flavorful Dal Makani. Served with Steamed Basmati Rice and Raita,₹249/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/7eb14fc9-3190-4827-bb3a-19edb4f9e3d8..jpg,Add,AddDal Makhani Rice MealA flavorful Dal Makani. Served with Steamed Basmati Rice and Raita ₹249/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Quick Meals,40,Dal Makhani Paratha Meal,A flavorful Dal Makani. Served with Whole Wheat Paratha (3 Nos) and Raita,₹229/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/07/08/f7118992-315f-4a4b-8b20-fc6cb2779547..jpg,Add,AddDal Makhani Paratha MealA flavorful Dal Makani. Served with Whole Wheat Paratha (3 Nos) and Raita ₹229/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
